UserId,AppId,Recommendations,PlaytimeForever,Playtime2Weeks,MetacriticScore,FinalPrice,Publishers,Developers,Categories
ID76561198048964252,App271240,2576,0,0,78,0,[Stardock Entertainment],[Mohawk Games],2-1-36-9-38-27-22-29-30-18-23-15-17-
ID76561198048964252,App310950,8863,0,0,89,799,[Capcom],[Capcom],2-1-27-22-28-29-
ID76561198050778339,App3810,369,152,0,65,999,[Majesco Entertainment],[Terminal Reality],2-29-
ID76561198050778339,App3820,300,153,0,67,999,[Majesco Entertainment],[Terminal Reality],2-29-
ID76561198050778339,App2100,3139,94,0,72,999,[Ubisoft],[Arkane Studios],2-1-8-
ID76561198050778339,App2130,3139,0,0,72,999,[Ubisoft],[Arkane Studios],2-1-8-
ID76561198050778339,App13240,1923,35,0,92,999,[Epic Games Inc.],[Epic Games Inc.],2-1-
ID76561198050778339,App20,2806,0,0,0,499,[Valve],[Valve],1-36-37-8-
ID76561198050778339,App50,4365,0,0,0,499,[Valve],[Gearbox Software],2-1-8-
ID76561198050778339,App70,22293,46,0,96,999,[Valve],[Valve],2-1-36-23-8-
ID76561198050778339,App130,3360,0,0,71,499,[Valve],[Gearbox Software],2-
ID76561198050778339,App220,50620,203,0,96,999,[Valve],[Valve],2-22-29-13-18-23-16-
ID76561198050778339,App280,4034,0,0,0,999,[Valve],[Valve],2-
ID76561198050778339,App320,4129,0,0,0,499,[Valve],[Valve],1-8-16-
ID76561198050778339,App340,4842,0,0,0,0,[Valve],[Valve],2-14-
ID76561198050778339,App360,1462,0,0,0,999,[Valve],[Valve],1-8-
ID76561198050778339,App380,6216,0,0,87,799,[Valve],[Valve],2-22-13-18-23-15-16-14-
ID76561198050778339,App420,10758,0,0,90,799,[Valve],[Valve],2-22-13-18-23-15-16-14-
ID76561198050778339,App20900,27709,338,0,86,999,[CD PROJEKT RED 1C-SoftClub],[CD PROJEKT RED],2-23-
ID76561198050778339,App22000,2571,80,0,90,999,[2D BOY ],[2D BOY],2-22-
ID76561198050778339,App9480,5838,0,0,72,999,[Deep Silver],[Volition],2-23-
ID76561198050778339,App10500,8227,492,0,0,2499,[SEGA Feral Interactive (Mac) Feral Interactive (Linux)],[CREATIVE ASSEMBLY Feral Interactive (Mac) Feral Interactive (Linux)],2-1-22-29-15-
ID76561198050778339,App17460,9848,745,0,89,1999,[Electronic Arts],[BioWare],2-
ID76561198050778339,App15620,3131,197,0,85,1999,[SEGA Feral Interactive (Mac/Linux)],[Relic Entertainment Feral Interactive (Mac/Linux)],2-1-9-29-23-
ID76561198050778339,App23310,2361,0,0,66,0,[Square Enix],[Square Enix],2-18-
ID76561198050778339,App22330,11661,5759,0,94,1499,[Bethesda Softworks],[Bethesda Game Studios],2-23-
ID76561198050778339,App1250,31567,179,0,72,1999,[Tripwire Interactive],[Tripwire Interactive],2-1-9-27-22-29-30-8-15-17-
ID76561198050778339,App35420,31567,0,0,72,1999,[Tripwire Interactive],[Tripwire Interactive],2-1-9-27-22-29-30-8-15-17-
ID76561198050778339,App21680,465,0,0,86,199,[Capcom],[Capcom],2-24-18-
ID76561198050778339,App38400,4412,117,0,89,999,[Bethesda Softworks],[Interplay Inc.],2-23-
ID76561198050778339,App38410,4319,4717,0,86,999,[Bethesda Softworks],[Black Isle Studios],2-23-
ID76561198050778339,App38420,927,128,0,82,999,[Bethesda Softworks],[14° East],2-1-23-
ID76561198050778339,App11390,934,0,0,0,999,[Meridian4],[],2-
ID76561198050778339,App32370,11318,2172,0,0,349,[LucasArts Aspyr (Mac) Disney Interactive Lucasfilm],[BioWare Aspyr (Mac)],2-23-
ID76561198050778339,App4560,3132,381,0,93,1999,[SEGA],[Relic Entertainment],2-1-29-30-23-
ID76561198050778339,App9340,391,0,0,87,1999,[SEGA],[Relic Entertainment],2-1-23-
ID76561198050778339,App20540,891,0,0,70,1999,[SEGA],[Relic Entertainment],2-1-23-
ID76561198050778339,App228200,1518,285,0,93,1999,[SEGA],[Relic Entertainment],2-1-29-30-23-
ID76561198050778339,App32400,1285,0,0,0,209,[LucasArts Lucasfilm Disney Interactive],[LucasArts],2-23-
ID76561198050778339,App6020,4932,323,0,81,349,[LucasArts Aspyr (Mac) Lucasfilm Disney Interactive],[Raven Software Aspyr (Mac)],2-36-37-18-23-
ID76561198050778339,App17450,5679,83,0,91,1999,[Electronic Arts],[BioWare],2-
ID76561198050778339,App23490,592,0,0,79,999,[Kalypso Media Digital],[Haemimont Games],2-
ID76561198050778339,App32440,2772,688,0,77,699,[LucasArts Lucasfilm Disney Interactive Feral Interactive (Mac)],[Travellers Tales Feral Interactive (Mac)],2-24-28-23-
ID76561198050778339,App24980,9649,145,0,94,1999,[Electronic Arts],[BioWare],2-
ID76561198050778339,App40100,3541,0,0,77,1299,[Square Enix],[Gas Powered Games],2-1-22-15-25-
ID76561198050778339,App33910,3541,178,0,77,1299,[Square Enix],[Gas Powered Games],2-1-22-15-25-
ID76561198050778339,App33930,14104,92,0,73,1999,[Bohemia Interactive],[Bohemia Interactive],2-1-9-13-18-17-
ID76561198050778339,App219540,14104,0,0,73,1999,[Bohemia Interactive],[Bohemia Interactive],2-1-9-13-18-17-
ID76561198050778339,App50620,6383,0,0,83,0,[THQ Nordic],[Vigil Games],2-22-18-23-
ID76561198050778339,App462780,4552,302,0,0,1999,[THQ Nordic],[KAIKO Vigil Games],2-22-28-29-23-
ID76561198050778339,App8930,83723,474,0,90,2999,[2K Aspyr (Mac) Aspyr (Linux)],[Firaxis Games Aspyr (Mac) Aspyr (Linux)],2-1-22-29-23-
ID76561198050778339,App42960,4381,450,0,75,1999,[Paradox Interactive],[Paradox Development Studio],2-1-29-
ID76561198050778339,App40300,2914,277,0,77,999,[Deep Silver],[Piranha Bytes],2-29-
ID76561198050778339,App35130,1969,0,0,82,999,[Square Enix],[Crystal Dynamics],2-1-24-22-18-23-15-25-
ID76561198050778339,App70900,211,0,0,0,999,[Blind Mind Studios],[Blind Mind Studios],2-1-
ID76561198050778339,App22380,51513,5197,0,84,999,[Bethesda Softworks],[Obsidian Entertainment],2-22-18-25-
ID76561198050778339,App12210,43525,3795,0,90,1999,[Rockstar Games],[Rockstar North Rockstar Toronto],2-1-18-
ID76561198050778339,App12220,6792,0,0,0,1999,[Rockstar Games],[Rockstar North / Toronto],2-1-
ID76561198050778339,App55140,1313,24,0,0,1999,[THQ Nordic],[Double Helix Games Rainbow Studios THQ Nordic],2-1-22-18-23-
ID76561198050778339,App31280,5490,7,0,71,499,[],[Telltale Games],2-22-
ID76561198050778339,App23450,369,0,0,72,999,[Kalypso Media Digital],[Haemimont Games],2-
ID76561198050778339,App40800,18004,313,0,87,1499,[],[Team Meat],2-22-28-29-25-
ID76561198050778339,App78000,1467,22,0,82,499,[PopCap Games Inc.],[PopCap Games Inc.],2-22-
ID76561198050778339,App22610,525,2,0,64,999,[Team17 Digital Ltd],[Team17 Software Ltd. ],2-9-22-18-
ID76561198050778339,App22650,191,0,0,63,999,[Team17 Digital Ltd],[Team17 Digital Ltd],2-9-22-18-15-25-
ID76561198050778339,App22670,197,0,0,64,999,[Team17 Digital Ltd],[Team17 Digital Ltd],2-9-22-18-15-25-
ID76561198050778339,App31290,1195,0,0,74,0,[Telltale Games],[Telltale Games],2-
ID76561198050778339,App94500,0,0,0,0,0,[Telltale Games],[Telltale Games],
ID76561198050778339,App94510,0,0,0,0,0,[Telltale Games],[Telltale Games],
ID76561198050778339,App94520,0,0,0,0,0,[Telltale Games],[Telltale Games],
ID76561198050778339,App94530,0,0,0,0,0,[Telltale Games],[Telltale Games],
ID76561198050778339,App4540,0,14,0,0,0,[Telltale Games],[Telltale Games],
ID76561198050778339,App4550,0,1,0,0,0,[Telltale Games],[Telltale Games],
ID76561198050778339,App475150,9323,371,0,0,1999,[THQ Nordic],[Iron Lore Entertainment THQ Nordic],2-1-36-9-38-22-29-30-23-17-
ID76561198050778339,App42910,13210,783,0,74,999,[Paradox Interactive],[Arrowhead Game Studios],2-1-9-24-22-28-29-25-
ID76561198050778339,App55100,2300,0,0,70,1999,[Deep Silver],[Kaos Studios Digital Extremes],2-1-22-18-23-8-
ID76561198050778339,App32510,845,20,0,76,699,[LucasArts Lucasfilm Disney Interactive],[Travellers Tales],2-39-24-18-23-
ID76561198050778339,App44340,762,0,0,67,0,[Codemasters],[Codemasters Action Studio],2-1-9-
ID76561198050778339,App70000,7552,316,0,53,999,[800 North and Digital Ranch],[800 North and Digital Ranch],1-22-29-23-8-15-
ID76561198050778339,App73170,999,0,0,81,999,[Paradox Interactive],[Martin Ivanov],2-1-
ID76561198050778339,App620,103482,299,0,95,999,[Valve],[Valve],2-9-22-28-29-13-30-23-15-17-14-
ID76561198050778339,App55110,1777,0,0,75,1999,[THQ Nordic],[Volition],2-9-22-18-23-8-25-
ID76561198050778339,App105600,198350,22498,0,83,999,[Re-Logic],[Re-Logic],2-1-36-9-38-22-28-29-23-
ID76561198050778339,App20920,35118,235,0,88,1999,[CD PROJEKT RED 1C-SoftClub],[CD PROJEKT RED],2-22-29-18-23-25-
ID76561198050778339,App31270,906,0,0,70,499,[Telltale Games],[Telltale Games],2-
ID76561198050778339,App7760,1751,0,0,0,124,[2K],[MicroProse Software Inc],2-
ID76561198050778339,App42160,1751,0,0,0,124,[2K],[MicroProse Software Inc],2-
ID76561198050778339,App206980,1751,0,0,0,124,[2K],[MicroProse Software Inc],2-
ID76561198050778339,App97000,1130,68,0,72,999,[Murudai],[Murudai],2-22-18-23-15-
ID76561198050778339,App21100,3264,323,0,74,1999,[Warner Bros. Interactive Entertainment],[Day 1 Studios],2-1-9-22-18-23-25-
ID76561198050778339,App19680,3264,132,0,74,1999,[Warner Bros. Interactive Entertainment],[Day 1 Studios],2-1-9-22-18-23-25-
ID76561198050778339,App46500,1620,227,0,82,1299,[Microids],[Microids],2-29-
ID76561198050778339,App50130,17535,482,0,77,2999,[2K Feral Interactive (Mac)],[2K Czech Feral Interactive (Mac)],2-22-18-
ID76561198050778339,App32800,2869,32,0,66,0,[Warner Bros. Interactive Entertainment],[Snowblind Studios],2-1-9-22-23-
ID76561198050778339,App107100,20826,3,0,86,1499,[Supergiant Games],[Supergiant Games],2-22-28-29-23-25-
ID76561198050778339,App17710,1348,253,0,71,999,[Iceberg Interactive],[GameConnect InterWave Studios],1-36-27-22-29-30-18-23-8-15-17-
ID76561198050778339,App200110,1348,155,0,71,999,[Iceberg Interactive],[GameConnect InterWave Studios],1-36-27-22-29-30-18-23-8-15-17-
ID76561198050778339,App24240,18194,228,0,76,1499,[Daybreak Game Company],[OVERKILL Software],2-9-22-29-23-15-
ID76561198050778339,App9350,764,0,0,86,1299,[Square Enix],[Gas Powered Games],2-1-
ID76561198050778339,App9420,3103,0,0,81,1299,[Square Enix],[Gas Powered Games],2-1-
ID76561198050778339,App3830,4694,155,0,87,999,[Double Fine Productions],[Double Fine Productions],2-22-29-18-23-
ID76561198050778339,App70620,212,0,0,0,999,[Team17 Digital Ltd],[Team17 Digital Ltd],2-22-18-
ID76561198050778339,App42990,536,0,0,65,1999,[Paradox Interactive],[Kerberos Productions],1-
ID76561198050778339,App70660,105,0,0,0,799,[Team17 Digital Ltd],[Team17 Digital Ltd],2-
ID76561198050778339,App71340,4965,0,0,77,499,[SEGA],[Devils Details],2-22-28-23-15-25-
ID76561198050778339,App201290,481,0,0,87,1999,[Stardock Entertainment],[Ironclad Games Stardock Entertainment],2-1-37-
ID76561198050778339,App201570,197,227,0,0,499,[Ripstone],[Boss Baddie],2-24-29-18-23-
ID76561198050778339,App202200,716,0,0,92,999,[Stardock Entertainment],[Stardock Entertainment],2-
ID76561198050778339,App205790,716,0,0,92,999,[Stardock Entertainment],[Stardock Entertainment],2-
ID76561198050778339,App94590,274,0,0,63,999,[Telltale Games],[Telltale Games],2-22-
ID76561198050778339,App67370,4422,0,0,77,599,[2K],[Digital Extremes],2-9-22-18-
ID76561198050778339,App203770,20798,259,0,82,3999,[Paradox Interactive],[Paradox Development Studio],2-1-29-
ID76561198050778339,App204880,6066,1,0,82,3999,[Stardock Entertainment],[Ironclad Games Stardock Entertainment],2-1-36-37-9-38-39-22-29-23-17-
ID76561198050778339,App115110,707,403,0,80,999,[Double Fine Productions],[Double Fine Productions],2-18-
ID76561198050778339,App35000,1230,0,0,74,999,[Square Enix],[IO Interactive],2-
ID76561198050778339,App207170,3226,129,0,82,1499,[Almost Human Games],[Almost Human Games],2-22-30-17-
ID76561198050778339,App201700,3226,0,0,82,1499,[Almost Human Games],[Almost Human Games],2-22-30-17-
ID76561198050778339,App208670,345,0,0,63,999,[Gaijin Entertainment Corporation],[Gaijin Entertainment Corporation],2-1-9-22-18-23-15-25-
ID76561198050778339,App105800,451,243,0,81,499,[Q-Games Ltd.],[Q-Games Ltd.],2-22-28-29-23-25-
ID76561198050778339,App102500,8887,1547,0,81,1999,[38 Studios Electronic Arts],[Big Huge Games 38 Studios],2-22-18-23-
ID76561198050778339,App70600,1665,0,0,66,1499,[Team17 Digital Ltd],[Team17 Digital Ltd],2-1-24-22-18-23-15-25-
ID76561198050778339,App203630,693,235,0,71,2499,[Paradox Interactive],[Ino-Co Plus],2-1-29-
ID76561198050778339,App207610,28487,216,0,82,0,[Skybound Games],[Telltale Games],2-22-28-29-
ID76561198050778339,App6900,1271,0,0,73,799,[IO Interactive A/S],[IO Interactive A/S],2-
ID76561198050778339,App211600,1328,0,0,92,699,[Square Enix],[Looking Glass Studios],2-
ID76561198050778339,App50300,17724,0,0,76,599,[2K Missing Link Games],[YAGER],2-1-27-22-28-23-15-25-
ID76561198050778339,App7670,15587,116,0,96,0,[2K],[2K Boston 2K Australia],2-18-
ID76561198050778339,App409710,10244,91,0,80,1999,[2K Feral Interactive (Mac)],[2K Boston 2K Australia Blind Squirrel Feral Interactive (Mac)],2-22-28-23-14-
ID76561198050778339,App12750,10244,2,0,80,1999,[2K Feral Interactive (Mac)],[2K Boston 2K Australia Blind Squirrel Feral Interactive (Mac)],2-22-28-23-14-
ID76561198050778339,App12830,1006,43,0,76,999,[Codemasters],[Codemasters Studios],2-18-
ID76561198050778339,App12810,1947,0,0,79,999,[Codemasters],[Triumph Studios Virtual Programming],2-
ID76561198050778339,App12770,208,0,0,59,999,[Codemasters],[Liquid Entertainment],2-28-
ID76561198050778339,App214830,884,5,0,75,249,[Marvelous],[Opus],2-1-9-22-28-23-15-25-
ID76561198050778339,App212630,2777,148,0,71,1999,[Ubisoft],[Ubisoft Paris Red Storm Entertainment],2-1-9-
